id,name,short_name,country,city,lat,lon,host_entity,linked_ai_factory_ids,linked_ai_factories,system_role,system_class,status,sustained_pf,peak_pf,ai_peak_pf,accelerator_or_gpu,cpu,storage,supplier,applications,source,coordinate_precision,notes
AISYS_DISCOVERER,Discoverer,Discoverer,Bulgaria,Sofia,42.6977,23.3219,Sofia Tech Park,AIF_BRAINPP,BRAIN++,base_supercomputer_with_ai_resources,petascale_eurohpc,operational,4.52,5.94,,4 NVIDIA DGX H200 systems / 32 H200 GPUs,AMD EPYC 7H12,2 PB + 5 PB Lustre + 442 TB Weka AI storage,Atos / BullSequana XH2000,"AI, SLM, ML, climate, materials, drug discovery",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city,Base Bulgarian AI/HPC infrastructure.
AISYS_VEGA,Vega,Vega,Slovenia,Maribor,46.5547,15.6459,IZUM,AIF_SLAIF,SLAIF,base_supercomputer_or_ecosystem,petascale_eurohpc,operational,6.92,10.05,,240 NVIDIA A100 GPUs,AMD EPYC 7H12,1 PB NVMe Lustre + 23 PB Ceph,Atos / BullSequana XH2000,"HPC, AI, Big Data/HPDA",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city,Visible Slovenian EuroHPC base for AI Factory ecosystem.
AISYS_KAROLINA,Karolina,Karolina,Czechia,Ostrava,49.8209,18.2625,IT4Innovations,AIF_CZAI,Czech AI Factory,base_supercomputer,petascale_eurohpc,operational,9.59,12.91,up to 150 PFLOPS AI computations,NVIDIA A100 Tensor Core GPUs,"100,000+ CPU cores",1+ PB user data; 1 TB/s high-speed storage,HPE Apollo systems,"HPC, AI, Big Data",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city,KarolAIna builds on Karolina.
AISYS_KAROLAINA,KarolAIna,KarolAIna,Czechia,Ostrava,49.8209,18.2625,IT4Innovations,AIF_CZAI,Czech AI Factory,ai_optimised_supercomputer,ai_factory_system,selected_or_planned,,,~850 PFLOPS AI operations,~340 AI chips,,,,AI workloads and adoption in Czechia,https://www.eurohpc-ju.europa.eu/eurohpc-ju-selects-six-additional-ai-factories-expand-europes-ai-capabilities-2025-10-10_en,city,New AI-optimised supercomputer linked to CZAI.
AISYS_PIAST_AI_PLATFORM,PIAST-AI computing platform,PIAST-AI sys,Poland,Poznań,52.4064,16.9252,PCSS,AIF_PIAST_AI,PIAST-AI Factory,ai_hpc_platform,ai_factory_platform,active_or_deploying,,,,high-end GPUs and AI/HPC resources,,,,"cybersecurity, quantum-enhanced AI, health, space, robotics",https://www.eurohpc-ju.europa.eu/ai-factories/poland_en,city,Hardware details to verify.
AISYS_LITAI_INFRA,LitAI sovereign AI infrastructure,LitAI infra,Lithuania,Vilnius,54.6872,25.2797,Vilnius University / LRTC VDC3,AIF_LITAI,LitAI Factory,ai_optimised_infrastructure,ai_factory_system,selected_or_planned,,,,AI accelerators; details TBC,,data storage and HPC for AI workloads,,"cybersecurity, green energy, smart industry, digital health",https://www.eurohpc-ju.europa.eu/lithuania_en,city,Hosted at LRTC VDC3 according to EuroHPC.
AISYS_NLAIF_SUPERCOMPUTER,Dutch AI-optimised supercomputer,NLAIF system,Netherlands,Amsterdam,52.3676,4.9041,AIFNL Foundation / SURF,AIF_NLAIF,Dutch AI Factory,ai_optimised_supercomputer,ai_factory_system,selected_or_planned,,,,AI accelerators; details TBC,,secure scalable infrastructure and storage,,"healthcare, mobility, finance, agriculture",https://www.eurohpc-ju.europa.eu/netherlands_en,country_anchor_city,Precise site to verify.
AISYS_1HEALTHAI_PLATFORM,1HealthAI experimental platform,1HealthAI sys,Spain,Santiago de Compostela,42.8782,-8.5448,CESGA / CSIC,AIF_1HEALTHAI,Spanish 1HealthAI Factory,ai_experimental_platform,ai_factory_platform,selected_or_planned,,,,AI compute platform; details TBC,,,,"One Health, genomics, personalised medicine, agri-food",https://www.eurohpc-ju.europa.eu/spain-1health-ai_en,city_or_industrial_park_approx,Located in A Sionlla industrial park according to EuroHPC.
AISYS_GAIA,Gaia AI computing platforms,Gaia sys,Poland,Kraków,50.0647,19.945,ACK Cyfronet AGH / PLGrid,AIF_GAIA,Gaia AI Factory,ai_computing_platform,ai_factory_platform,selected_or_planned,,,,"about 1,000 GPUs split into training and inference partitions",,,,"large learning models, healthcare, space",https://www.eurohpc-ju.europa.eu/poland-gaia-ai-factory_en,city,"EuroHPC reports about 1,000 GPUs."
AISYS_ROAI_SUPERCOMPUTER,RO AI-optimised supercomputer,RO AI sys,Romania,Bucharest,44.4268,26.1025,ICI Bucharest / UPB,AIF_ROAI,RO AI Factory,ai_optimised_supercomputer,ai_factory_system,selected_or_planned,,,,AI accelerators; details TBC,,data space hosting and AI model environment,,"SMEs, public sector, health, responsible AI",https://www.eurohpc-ju.europa.eu/romania_en,city,AI-optimised supercomputer to be acquired and deployed.
AISYS_AI_AT_INFRA,AI:AT AI-optimised infrastructure,AI:AT infra,Austria,Vienna,48.2082,16.3738,Advanced Computing Austria / AIT-led consortium,AIF_AI_AT,AI Factory Austria,ai_optimised_infrastructure,ai_factory_system,active_or_deploying,,,,AI-optimised supercomputer infrastructure; details TBC,,,,"biotech, manufacturing, public administration, health, fintech",https://www.eurohpc-ju.europa.eu/ai-factories/austria_en,city,Austrian AI Factory infrastructure.
AISYS_ALICE_RECOQUE,Alice Recoque,Alice Recoque,France,Bruyères-le-Châtel,48.5884,2.1896,CEA/TGCC / Jules Verne consortium,AIF_FRANCE,AI Factory France,future_exascale_ai_hpc_system,exascale_eurohpc_planned,planned,1000,,,next-generation AMD MI430x GPUs,AMD Venice; likely SiPEARL ARM scalar partition,,Eviden Sequana XH3500,"HPC/AI workloads, multi-tenant execution",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city_or_site_approx,Future French/European exascale AI-HPC anchor.
