id,from_id,from_name,from_type,to_id,to_name,to_type,relation_type,relation_label,source,notes
REL_AIF_CZAI_AISYS_KAROLINA,AIF_CZAI,Czech AI Factory,ai_factory,AISYS_KAROLINA,Karolina,ai_supercomputer,uses_compute_system,CZAI uses/relies on Karolina,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_CZAI_AISYS_KAROLAINA,AIF_CZAI,Czech AI Factory,ai_factory,AISYS_KAROLAINA,KarolAIna,ai_supercomputer,uses_compute_system,CZAI uses/relies on KarolAIna,https://www.eurohpc-ju.europa.eu/eurohpc-ju-selects-six-additional-ai-factories-expand-europes-ai-capabilities-2025-10-10_en,AI Factory → compute system mapping.
REL_AIF_PIAST_AI_AISYS_PIAST_AI_PLATFORM,AIF_PIAST_AI,PIAST-AI Factory,ai_factory,AISYS_PIAST_AI_PLATFORM,PIAST-AI computing platform,ai_supercomputer,uses_compute_system,PIAST-AI uses/relies on PIAST-AI sys,https://www.eurohpc-ju.europa.eu/ai-factories/poland_en,AI Factory → compute system mapping.
REL_AIF_LITAI_AISYS_LITAI_INFRA,AIF_LITAI,LitAI Factory,ai_factory,AISYS_LITAI_INFRA,LitAI sovereign AI infrastructure,ai_supercomputer,uses_compute_system,LitAI uses/relies on LitAI infra,https://www.eurohpc-ju.europa.eu/lithuania_en,AI Factory → compute system mapping.
REL_AIF_NLAIF_AISYS_NLAIF_SUPERCOMPUTER,AIF_NLAIF,Dutch AI Factory,ai_factory,AISYS_NLAIF_SUPERCOMPUTER,Dutch AI-optimised supercomputer,ai_supercomputer,uses_compute_system,NLAIF uses/relies on NLAIF system,https://www.eurohpc-ju.europa.eu/netherlands_en,AI Factory → compute system mapping.
REL_AIF_1HEALTHAI_AISYS_1HEALTHAI_PLATFORM,AIF_1HEALTHAI,Spanish 1HealthAI Factory,ai_factory,AISYS_1HEALTHAI_PLATFORM,1HealthAI experimental platform,ai_supercomputer,uses_compute_system,1HealthAI uses/relies on 1HealthAI sys,https://www.eurohpc-ju.europa.eu/spain-1health-ai_en,AI Factory → compute system mapping.
REL_AIF_GAIA_AISYS_GAIA,AIF_GAIA,Gaia AI Factory,ai_factory,AISYS_GAIA,Gaia AI computing platforms,ai_supercomputer,uses_compute_system,Gaia uses/relies on Gaia sys,https://www.eurohpc-ju.europa.eu/poland-gaia-ai-factory_en,AI Factory → compute system mapping.
REL_AIF_ROAI_AISYS_ROAI_SUPERCOMPUTER,AIF_ROAI,RO AI Factory,ai_factory,AISYS_ROAI_SUPERCOMPUTER,RO AI-optimised supercomputer,ai_supercomputer,uses_compute_system,RO AI uses/relies on RO AI sys,https://www.eurohpc-ju.europa.eu/romania_en,AI Factory → compute system mapping.
REL_AIF_AI_AT_AISYS_AI_AT_INFRA,AIF_AI_AT,AI Factory Austria,ai_factory,AISYS_AI_AT_INFRA,AI:AT AI-optimised infrastructure,ai_supercomputer,uses_compute_system,AI:AT uses/relies on AI:AT infra,https://www.eurohpc-ju.europa.eu/ai-factories/austria_en,AI Factory → compute system mapping.
REL_AIF_FRANCE_AISYS_ALICE_RECOQUE,AIF_FRANCE,AI Factory France,ai_factory,AISYS_ALICE_RECOQUE,Alice Recoque,ai_supercomputer,uses_compute_system,AIF France uses/relies on Alice Recoque,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
