id,from_id,from_name,from_type,to_id,to_name,to_type,relation_type,relation_label,source,notes
REL_HOST_LITAI,ACTOR_HOST_LITAI,Vilnius University / LRTC VDC3 data center,hosting_entity_or_consortium,AIF_LITAI,LitAI Factory,ai_factory,hosts_or_leads,Vilnius University / LRTC VDC3 data center hosts/leads LitAI Factory,https://www.eurohpc-ju.europa.eu/lithuania_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_LITAI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_LITAI,LitAI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds LitAI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_NLAIF,ACTOR_HOST_NLAIF,AIFNL Foundation / SURF / national consortium,hosting_entity_or_consortium,AIF_NLAIF,Dutch AI Factory,ai_factory,hosts_or_leads,AIFNL Foundation / SURF / national consortium hosts/leads Dutch AI Factory,https://www.eurohpc-ju.europa.eu/netherlands_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_NLAIF,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_NLAIF,Dutch AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Dutch AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_1HEALTHAI,ACTOR_HOST_1HEALTHAI,Galicia Supercomputing Center (CESGA) / CSIC,hosting_entity_or_consortium,AIF_1HEALTHAI,Spanish 1HealthAI Factory,ai_factory,hosts_or_leads,Galicia Supercomputing Center (CESGA) / CSIC hosts/leads Spanish 1HealthAI Factory,https://www.eurohpc-ju.europa.eu/spain-1health-ai_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_1HEALTHAI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_1HEALTHAI,Spanish 1HealthAI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Spanish 1HealthAI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_GAIA,ACTOR_HOST_GAIA,ACK Cyfronet AGH / PLGrid ecosystem,hosting_entity_or_consortium,AIF_GAIA,Gaia AI Factory,ai_factory,hosts_or_leads,ACK Cyfronet AGH / PLGrid ecosystem hosts/leads Gaia AI Factory,https://www.eurohpc-ju.europa.eu/poland-gaia-ai-factory_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_GAIA,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_GAIA,Gaia AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Gaia AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_ROAI,ACTOR_HOST_ROAI,ICI Bucharest / University Politehnica of Bucharest,hosting_entity_or_consortium,AIF_ROAI,RO AI Factory,ai_factory,hosts_or_leads,ICI Bucharest / University Politehnica of Bucharest hosts/leads RO AI Factory,https://www.eurohpc-ju.europa.eu/romania_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_ROAI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_ROAI,RO AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds RO AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
